pathway,endpoint,n_altered,n_wildtype,pct_cohort,events_alt,events_wt,median_altered,median_wt,logrank_p,HR,CI_lower,CI_upper,cox_p,km_significant,cox_significant
WNT,EFS,10,642,1.5,10,201,,,,,,,,,
WNT,OS,10,642,1.5,4,110,,,,,,,,,
SIX_miRNA,EFS,10,642,1.5,8,203,,,,,,,,,
SIX_miRNA,OS,10,642,1.5,3,111,,,,,,,,,
CHROMATIN,EFS,9,643,1.4,6,205,,,,,,,,,
CHROMATIN,OS,9,643,1.4,6,108,,,,,,,,,
P53,EFS,35,617,5.4,26,185,12.2,NR,6.666842076473483e-10,3.262,2.15,4.947,2.6550410682854104e-08,True,True
P53,OS,35,617,5.4,18,96,25.0,NR,1.1577923853018998e-11,4.534,2.724,7.547,6.071067444517745e-09,True,True
IGF2,EFS,21,631,3.2,16,195,10.8,NR,6.101706480773753e-08,3.48,2.06,5.879,3.1530530952628603e-06,True,True
IGF2,OS,21,631,3.2,9,105,NR,NR,0.0006711266608201751,,,,,True,
ANY,EFS,69,583,10.6,54,157,10.8,NR,4.2325279132699957e-26,4.557,3.316,6.264,9.181372180946458e-21,True,True
ANY,OS,69,583,10.6,30,84,NR,NR,4.642248005022071e-12,3.714,2.435,5.663,1.0968709963652893e-09,True,True
